task_id,experience_id,condition,shift_category,hard_easy,baseline_success,condition_success,delta,ambiguous,noise_caution,delta_eff_completion_tokens,delta_eff_tool_call_count,retry_count_delta
bfcl_multiple_46,exp_bfcl_multiple_115,retrieved,novel_tool,easy,True,True,0,True,True,1,0,1
bfcl_irrelevance_110,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,-54,0,3
bfcl_irrelevance_110,exp_bfcl_parallel_multiple_122,retrieved,distractor_tool,easy,True,True,0,True,False,-36,0,3
bfcl_multiple_144,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-33,0,0
bfcl_multiple_144,exp_bfcl_parallel_multiple_190,retrieved,novel_tool,easy,True,True,0,True,True,79,0,0
bfcl_irrelevance_58,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,False,-1,False,False,,,1
bfcl_irrelevance_58,exp_bfcl_simple_python_43,retrieved,distractor_tool,easy,True,False,-1,False,False,,,1
bfcl_simple_python_149,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,0,0,0
bfcl_simple_python_149,exp_bfcl_irrelevance_78,retrieved,familiar,easy,True,True,0,True,False,3,0,0
bfcl_parallel_multiple_106,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,0,0,0
bfcl_parallel_multiple_106,exp_bfcl_parallel_multiple_190,retrieved,novel_composition,easy,True,True,0,True,False,-10,0,0
bfcl_simple_python_318,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-105,0,0
bfcl_simple_python_318,exp_bfcl_multiple_83,retrieved,familiar,easy,True,True,0,True,False,-109,0,0
bfcl_simple_python_37,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-16,0,1
bfcl_simple_python_37,exp_bfcl_parallel_multiple_190,retrieved,familiar,easy,True,True,0,True,False,-12,0,1
bfcl_irrelevance_199,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,1606,0,0
bfcl_irrelevance_199,exp_bfcl_multiple_179,retrieved,distractor_tool,easy,True,False,-1,False,False,,,0
bfcl_multiple_16,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-15,0,0
bfcl_multiple_16,exp_bfcl_irrelevance_44,retrieved,novel_tool,easy,True,True,0,True,True,3,0,1
bfcl_simple_python_69,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-22,0,0
bfcl_simple_python_69,exp_bfcl_multiple_88,retrieved,familiar,easy,True,True,0,True,False,-87,0,0
bfcl_multiple_8,exp_bfcl_irrelevance_229,retrieved,novel_tool,easy,True,True,0,True,True,-40,0,-4
bfcl_irrelevance_173,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,-14,0,0
bfcl_irrelevance_173,exp_bfcl_simple_python_292,retrieved,distractor_tool,easy,True,True,0,True,False,110,0,0
bfcl_parallel_multiple_55,exp_bfcl_parallel_34,oracle,novel_composition,hard,False,False,0,True,False,,,0
bfcl_parallel_multiple_55,exp_bfcl_irrelevance_229,retrieved,novel_composition,hard,False,False,0,True,False,,,0
bfcl_irrelevance_18,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,42,0,2
bfcl_irrelevance_18,exp_bfcl_irrelevance_14,retrieved,distractor_tool,easy,True,True,0,True,False,-600,0,2
bfcl_parallel_multiple_144,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,-70,0,1
bfcl_parallel_multiple_144,exp_bfcl_parallel_multiple_93,retrieved,novel_composition,easy,True,True,0,True,False,-65,0,0
bfcl_multiple_14,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,32,0,1
bfcl_multiple_14,exp_bfcl_irrelevance_51,retrieved,novel_tool,easy,True,True,0,True,True,-11,0,1
bfcl_parallel_multiple_138,exp_bfcl_parallel_34,oracle,novel_composition,hard,False,False,0,True,False,,,-1
bfcl_parallel_multiple_138,exp_bfcl_simple_python_43,retrieved,novel_composition,hard,False,False,0,True,False,,,0
bfcl_parallel_191,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,-3,0,1
bfcl_parallel_191,exp_bfcl_simple_python_77,retrieved,novel_composition,easy,True,True,0,True,False,-18,0,0
bfcl_irrelevance_49,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,136,0,1
bfcl_irrelevance_49,exp_bfcl_parallel_multiple_190,retrieved,distractor_tool,easy,True,True,0,True,False,81,0,0
bfcl_irrelevance_221,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,-8,0,1
bfcl_irrelevance_221,exp_bfcl_irrelevance_14,retrieved,distractor_tool,easy,True,True,0,True,False,-23,0,1
bfcl_parallel_168,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,-227,0,0
bfcl_parallel_168,exp_bfcl_irrelevance_51,retrieved,novel_composition,easy,True,True,0,True,False,-56,0,0
bfcl_multiple_153,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-11,0,0
bfcl_multiple_153,exp_bfcl_parallel_multiple_93,retrieved,novel_tool,easy,True,True,0,True,True,-58,0,0
bfcl_parallel_multiple_29,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,False,-1,False,False,,,0
bfcl_parallel_multiple_29,exp_bfcl_parallel_multiple_190,retrieved,novel_composition,easy,True,False,-1,False,False,,,0
bfcl_multiple_169,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-2,0,1
bfcl_multiple_169,exp_bfcl_simple_python_292,retrieved,novel_tool,easy,True,True,0,True,True,-32,0,1
bfcl_simple_python_397,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-47,0,0
bfcl_simple_python_397,exp_bfcl_parallel_multiple_190,retrieved,familiar,easy,True,True,0,True,False,-33,0,0
bfcl_irrelevance_75,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,21,0,0
bfcl_irrelevance_75,exp_bfcl_simple_python_198,retrieved,distractor_tool,easy,True,True,0,True,False,1,0,0
bfcl_simple_python_352,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-8,0,-2
bfcl_simple_python_352,exp_bfcl_multiple_88,retrieved,familiar,easy,True,True,0,True,False,-10,0,0
bfcl_simple_python_159,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-2,0,2
bfcl_simple_python_159,exp_bfcl_irrelevance_44,retrieved,familiar,easy,True,True,0,True,False,-7,0,2
bfcl_parallel_116,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,35,0,-1
bfcl_parallel_116,exp_bfcl_simple_python_72,retrieved,novel_composition,easy,True,True,0,True,False,-54,0,0
bfcl_parallel_multiple_121,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,-37,0,0
bfcl_parallel_multiple_121,exp_bfcl_parallel_multiple_190,retrieved,novel_composition,easy,True,True,0,True,False,86,0,-1
bfcl_multiple_145,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,35,0,0
bfcl_multiple_145,exp_bfcl_irrelevance_51,retrieved,novel_tool,easy,True,True,0,True,True,11,0,0
bfcl_multiple_111,exp_bfcl_simple_python_2,oracle,novel_tool,easy,True,True,0,True,True,-46,0,0
bfcl_multiple_111,exp_bfcl_simple_python_72,retrieved,novel_tool,easy,True,True,0,True,True,-16,0,0
bfcl_simple_python_218,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-4,0,0
bfcl_simple_python_218,exp_bfcl_multiple_83,retrieved,familiar,easy,True,True,0,True,False,13,0,0
bfcl_irrelevance_193,exp_bfcl_irrelevance_139,oracle,distractor_tool,hard,False,False,0,True,False,,,0
bfcl_irrelevance_193,exp_bfcl_multiple_171,retrieved,distractor_tool,hard,False,False,0,True,False,,,0
bfcl_parallel_multiple_147,exp_bfcl_multiple_115,oracle,novel_composition,easy,True,True,0,True,False,-131,0,0
bfcl_parallel_multiple_147,exp_bfcl_multiple_115,retrieved,novel_composition,easy,True,True,0,True,False,-247,0,0
bfcl_multiple_107,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-43,0,0
bfcl_multiple_107,exp_bfcl_parallel_67,retrieved,novel_tool,easy,True,True,0,True,True,-59,0,0
bfcl_multiple_184,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-34,0,0
bfcl_multiple_184,exp_bfcl_irrelevance_229,retrieved,novel_tool,easy,True,True,0,True,True,-2,0,0
bfcl_simple_python_334,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-308,0,1
bfcl_simple_python_334,exp_bfcl_multiple_179,retrieved,familiar,easy,True,True,0,True,False,4,0,1
bfcl_irrelevance_93,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,-11,0,0
bfcl_irrelevance_93,exp_bfcl_simple_python_345,retrieved,distractor_tool,easy,True,True,0,True,False,15,0,-1
bfcl_simple_python_48,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,44,0,0
bfcl_simple_python_48,exp_bfcl_parallel_67,retrieved,familiar,easy,True,True,0,True,False,57,0,0
bfcl_multiple_140,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-4,0,0
bfcl_multiple_140,exp_bfcl_multiple_171,retrieved,novel_tool,easy,True,True,0,True,True,-3,0,0
bfcl_irrelevance_65,exp_bfcl_irrelevance_139,oracle,distractor_tool,hard,False,False,0,True,False,,,-3
bfcl_parallel_multiple_45,exp_bfcl_parallel_67,retrieved,novel_composition,easy,True,True,0,True,False,-12,0,-3
bfcl_simple_python_154,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,95,0,2
bfcl_simple_python_154,exp_bfcl_irrelevance_51,retrieved,familiar,easy,True,True,0,True,False,77,0,2
bfcl_irrelevance_83,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,-176,0,0
bfcl_irrelevance_83,exp_bfcl_irrelevance_78,retrieved,distractor_tool,easy,True,True,0,True,False,-19,0,0
bfcl_parallel_multiple_96,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,-8,0,1
bfcl_parallel_multiple_96,exp_bfcl_simple_python_77,retrieved,novel_composition,easy,True,True,0,True,False,5,0,1
bfcl_multiple_25,exp_bfcl_multiple_88,oracle,novel_tool,hard,False,False,0,True,True,,,0
bfcl_multiple_25,exp_bfcl_parallel_multiple_122,retrieved,novel_tool,hard,False,False,0,True,True,,,0
bfcl_simple_python_355,exp_bfcl_simple_python_190,oracle,familiar,hard,False,False,0,True,False,,,-1
bfcl_simple_python_355,exp_bfcl_multiple_179,retrieved,familiar,hard,False,False,0,True,False,,,0
bfcl_irrelevance_11,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,-65,0,0
bfcl_irrelevance_11,exp_bfcl_irrelevance_51,retrieved,distractor_tool,easy,True,True,0,True,False,-79,0,0
bfcl_simple_python_264,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,10,0,-1
bfcl_simple_python_264,exp_bfcl_multiple_20,retrieved,familiar,easy,True,True,0,True,False,-15,0,0
bfcl_simple_python_156,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-6,0,0
bfcl_simple_python_156,exp_bfcl_multiple_83,retrieved,familiar,easy,True,True,0,True,False,-1,0,0
bfcl_multiple_79,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-17,0,-1
bfcl_multiple_79,exp_bfcl_multiple_81,retrieved,novel_tool,easy,True,True,0,True,True,-79,0,0
bfcl_parallel_74,exp_bfcl_parallel_34,oracle,novel_composition,hard,False,True,1,False,False,,,3
bfcl_parallel_74,exp_bfcl_parallel_multiple_0,retrieved,novel_composition,hard,False,True,1,False,False,,,3
bfcl_irrelevance_117,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,257,0,-1
bfcl_irrelevance_117,exp_bfcl_irrelevance_139,retrieved,distractor_tool,easy,True,True,0,True,False,328,0,0
bfcl_simple_python_96,exp_bfcl_simple_python_190,oracle,familiar,hard,False,False,0,True,False,,,0
bfcl_simple_python_96,exp_bfcl_multiple_61,retrieved,familiar,hard,False,False,0,True,False,,,0
bfcl_simple_python_283,exp_bfcl_simple_python_190,oracle,familiar,hard,False,False,0,True,False,,,0
bfcl_simple_python_283,exp_bfcl_multiple_20,retrieved,familiar,hard,False,False,0,True,False,,,0
bfcl_irrelevance_203,exp_bfcl_irrelevance_139,oracle,distractor_tool,hard,False,False,0,True,False,,,0
bfcl_irrelevance_203,exp_bfcl_multiple_88,retrieved,distractor_tool,hard,False,False,0,True,False,,,0
bfcl_simple_python_184,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,224,0,0
bfcl_simple_python_184,exp_bfcl_parallel_multiple_93,retrieved,familiar,easy,True,True,0,True,False,93,0,0
bfcl_irrelevance_176,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,-43,0,3
bfcl_irrelevance_176,exp_bfcl_simple_python_292,retrieved,distractor_tool,easy,True,True,0,True,False,-33,0,3
bfcl_multiple_24,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,26,0,0
bfcl_multiple_24,exp_bfcl_parallel_multiple_190,retrieved,novel_tool,easy,True,True,0,True,True,5,0,0
bfcl_multiple_137,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-27,0,-1
bfcl_multiple_137,exp_bfcl_multiple_171,retrieved,novel_tool,easy,True,True,0,True,True,-6,0,0
bfcl_multiple_196,exp_bfcl_multiple_115,oracle,novel_tool,hard,False,True,1,False,True,,,0
bfcl_multiple_196,exp_bfcl_multiple_115,retrieved,novel_tool,hard,False,True,1,False,True,,,0
bfcl_simple_python_247,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,6,0,0
bfcl_simple_python_247,exp_bfcl_simple_python_72,retrieved,familiar,easy,True,True,0,True,False,-79,0,0
bfcl_parallel_144,exp_bfcl_simple_python_2,oracle,novel_composition,easy,True,True,0,True,False,-39,0,-1
bfcl_parallel_144,exp_bfcl_parallel_multiple_0,retrieved,novel_composition,easy,True,True,0,True,False,-35,0,0
bfcl_parallel_173,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,13,0,0
bfcl_parallel_173,exp_bfcl_simple_python_72,retrieved,novel_composition,easy,True,True,0,True,False,21,0,0
bfcl_multiple_158,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-20,0,0
bfcl_multiple_158,exp_bfcl_parallel_34,retrieved,novel_tool,easy,True,True,0,True,True,-6,0,-1
bfcl_multiple_5,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-4,0,0
bfcl_multiple_5,exp_bfcl_parallel_34,retrieved,novel_tool,easy,True,True,0,True,True,-40,0,0
bfcl_parallel_multiple_125,exp_bfcl_simple_python_77,oracle,novel_composition,easy,True,True,0,True,False,-71,0,-1
bfcl_parallel_multiple_125,exp_bfcl_irrelevance_229,retrieved,novel_composition,easy,True,True,0,True,False,4,0,0
bfcl_parallel_multiple_159,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,38,0,-1
bfcl_parallel_multiple_159,exp_bfcl_multiple_81,retrieved,novel_composition,easy,True,True,0,True,False,45,0,0
bfcl_irrelevance_135,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,-88,0,-1
bfcl_irrelevance_135,exp_bfcl_parallel_multiple_93,retrieved,distractor_tool,easy,True,False,-1,False,False,,,0
bfcl_parallel_multiple_78,exp_bfcl_parallel_multiple_190,oracle,novel_composition,hard,False,True,1,False,False,,,0
bfcl_parallel_multiple_78,exp_bfcl_parallel_multiple_190,retrieved,novel_composition,hard,False,True,1,False,False,,,1
bfcl_parallel_multiple_192,exp_bfcl_multiple_179,oracle,novel_composition,easy,True,True,0,True,False,12,0,-1
bfcl_parallel_multiple_192,exp_bfcl_multiple_179,retrieved,novel_composition,easy,True,True,0,True,False,-106,0,0
bfcl_simple_python_226,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-114,0,0
bfcl_simple_python_226,exp_bfcl_simple_python_72,retrieved,familiar,easy,True,True,0,True,False,-92,0,0
bfcl_multiple_188,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-73,0,0
bfcl_multiple_188,exp_bfcl_simple_python_77,retrieved,novel_tool,easy,True,True,0,True,True,-8,0,0
bfcl_parallel_127,exp_bfcl_simple_python_77,oracle,novel_composition,easy,True,True,0,True,False,-26,0,0
bfcl_parallel_127,exp_bfcl_simple_python_77,retrieved,novel_composition,easy,True,True,0,True,False,58,0,-1
bfcl_simple_python_336,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,177,0,-3
bfcl_simple_python_336,exp_bfcl_multiple_179,retrieved,familiar,easy,True,True,0,True,False,40,0,0
bfcl_parallel_80,exp_bfcl_simple_python_2,oracle,novel_composition,hard,False,False,0,True,False,,,-1
bfcl_parallel_80,exp_bfcl_irrelevance_51,retrieved,novel_composition,hard,False,False,0,True,False,,,0
bfcl_irrelevance_225,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,-4,0,0
bfcl_irrelevance_225,exp_bfcl_multiple_88,retrieved,distractor_tool,easy,True,True,0,True,False,-28,0,-2
bfcl_parallel_multiple_20,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,-191,0,0
bfcl_parallel_multiple_20,exp_bfcl_simple_python_292,retrieved,novel_composition,easy,True,True,0,True,False,-170,0,0
bfcl_irrelevance_36,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,29,0,1
bfcl_irrelevance_36,exp_bfcl_irrelevance_44,retrieved,distractor_tool,easy,True,True,0,True,False,-96,0,1
bfcl_irrelevance_182,exp_bfcl_irrelevance_139,oracle,distractor_tool,hard,False,False,0,True,False,,,0
bfcl_irrelevance_182,exp_bfcl_multiple_171,retrieved,distractor_tool,hard,False,False,0,True,False,,,0
bfcl_simple_python_268,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,21,0,0
bfcl_simple_python_268,exp_bfcl_multiple_20,retrieved,familiar,easy,True,True,0,True,False,37,0,0
bfcl_simple_python_370,exp_bfcl_simple_python_190,oracle,familiar,hard,False,True,1,False,False,,,0
bfcl_simple_python_370,exp_bfcl_irrelevance_229,retrieved,familiar,hard,False,True,1,False,False,,,0
